0,1,2
1993 National League Team ReviewPitching Statistics League Leaderboard,,
Statistic,Team,#
Complete Games,Philadelphia,24
ERA,Atlanta,3.14
Fewest Hits Allowed,Atlanta,"1,297"
Fewest Home Runs Allowed,Atlanta,101
Fewest Walks Allowed,St. Louis,383
Saves,Montreal,61
Shutouts,Atlanta,16
Strikeouts,Philadelphia,"1,117"
"Seasonal Events:All-Star Game|Draft|Home Run Derby|World SeriesNavigation:Year in Review Menu|Previous Season|Next SeasonMiscellaneous:A.L. Leaderboard| Retirements|Rookies ListAverage Salary: $1,120,254.00Minimum Salary: $109,000.00",,
